attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,highGamma,classification
43,57,260350,28819,16885,89709,16885,10237,7694,3864,0
69,81,158958,2574,7698,11897,7698,8574,853,747,0
70,93,101019,37453,6278,50263,6278,7130,10645,3829,0
83,88,220653,2467,911,3556,911,1331,590,1014,0
70,69,1071335,297118,50082,22575,50082,7694,10742,7427,0
47,64,498710,209962,134153,32913,134153,14981,7542,5560,0
53,56,853723,152954,20153,81161,20153,36516,32458,12660,0
38,51,802022,300343,66198,109640,66198,23456,4493,10119,0
54,61,66810,21868,3644,19128,3644,4147,2860,2224,0
61,70,59063,23975,19003,42760,19003,7015,3739,1278,0
54,75,102639,19005,9655,16055,9655,2954,2329,2458,0
60,90,204367,21757,4494,80251,4494,9149,8107,3964,0
48,91,149458,56583,14674,53388,14674,4506,5986,2518,0
57,84,89329,18804,19149,8786,19149,10222,4023,2088,0
64,96,42557,3588,22264,34514,22264,7714,4122,1438,0
66,93,20625,12572,6286,36384,6286,5555,2852,1624,0
66,96,20682,24191,6294,49599,6294,2542,2840,1644,0
69,96,33781,10367,6898,15005,6898,10226,2985,1199,0
74,81,30800,8725,2141,5929,2141,3266,2783,1665,0
75,75,19037,15137,7369,12355,7369,3762,3241,3126,0
90,77,10960,17978,2045,44057,2045,9353,5007,1822,0
83,81,51251,11540,13036,13609,13036,6618,1717,2679,0
70,88,144166,26580,16550,32475,16550,4483,3885,4448,0
75,87,149499,54240,7309,42355,7309,14471,3419,2269,1
74,78,102933,30027,10474,24024,10474,8442,3262,2224,1
83,75,54676,21765,15556,17596,15556,7769,4262,2231,1
84,75,48239,15895,14153,6243,14153,5906,1887,2739,1
90,70,149987,21000,13314,10178,13314,10640,2221,1331,1
100,67,6978,8977,11507,11823,11507,21096,2206,3254,1
97,61,118567,48796,16690,11229,16690,8469,2398,2137,1
83,63,121981,59343,14131,50025,14131,6010,3678,3166,1
70,66,49173,29077,16803,23120,16803,6201,3581,4100,1
48,70,234389,41766,28885,30747,28885,5712,3497,1912,1
47,80,93725,16741,4705,25400,4705,4152,1804,4743,1
38,77,153743,91845,10871,47713,10871,3293,5660,6384,1
40,77,5796,11804,6422,17962,6422,3414,6105,4349,1
29,64,133717,80195,5641,19654,5641,2071,6973,5967,1
23,57,200766,86462,23984,23554,23984,7120,9222,2539,1
34,66,71841,14422,12594,26595,12594,2828,7079,5012,1
35,61,62245,24015,11928,6351,11928,5477,4459,2469,1
41,60,130866,24490,2057,5355,2057,1296,614,1052,1
50,70,138551,20419,9775,53809,9775,10216,5210,5438,1
56,80,11902,3760,1684,50387,1684,6088,2526,1945,1
60,90,5046,11636,14294,33349,14294,10816,2043,1993,1
64,100,31716,27749,13043,31327,13043,5190,2353,2483,1
91,64,344922,1304380,36476,388776,1711,270100,2335,1615062,0
91,64,48978,280842,4330,138703,1364,57578,1153,402361,0
91,64,551849,1583987,73352,254695,2190,228425,7515,1476228,0
91,64,121826,349309,10072,169447,1241,53429,443,370618,0
91,64,55864,313020,5662,105637,1543,63117,1924,361715,0
100,54,335143,989646,27467,279898,4357,277358,3903,1444445,0
100,54,670495,1392961,11054,295429,2823,291144,3617,1541084,0
100,54,42191,317106,7166,133709,897,63876,1699,394157,0
30,30,79500,225872,6576,59625,1848,45786,857,252450,0
34,51,675706,522115,20566,338876,4847,177440,1339,1004467,0
26,34,580852,959257,23289,148730,1152,190524,3166,928015,0
26,34,765930,1112945,10379,391491,3970,212086,3032,1146045,0
26,34,189800,1366269,18043,240494,1505,263113,7927,1311647,0
26,34,63629,284311,3652,119654,1393,75548,2386,356625,0
26,34,534036,1687791,32973,351552,3287,264334,4629,1386099,0
26,34,31400,217521,3073,134548,1814,60211,1030,347583,0
26,34,325620,1550512,40832,508297,5906,202623,3485,1325118,0
23,26,200451,855685,5828,229029,4057,205465,4017,1031489,0
23,26,635404,141425,29339,47151,758,45990,1060,246011,0
54,56,561363,268897,51573,329602,8836,199036,2879,1099018,0
38,51,23729,161751,881,100370,1494,44601,1135,278974,0
44,66,456910,863163,4770,372699,3405,200495,2816,1078147,0
41,66,1498315,306131,53810,318600,11980,200151,1941,1136972,0
41,66,74897,194868,893,88908,1193,57281,1570,285672,0
41,66,425155,1039917,11567,267473,2968,239441,2412,1163721,0
37,57,58867,243507,2044,102638,942,45903,981,281235,0
27,64,416948,881799,11286,265054,8934,218306,5078,1106090,0
27,64,497513,1034544,18675,386473,1863,227349,2364,1176791,0
27,64,267468,951671,10400,241427,1506,235124,3544,1146078,0
27,63,48112,264715,4311,87848,1338,54126,616,310870,0
34,37,33561,212334,4796,106644,1342,49909,818,309352,0
34,37,1417835,882263,26444,286796,5304,227496,1987,1229208,0
34,37,806096,831079,22925,159576,11604,254213,5520,1318463,0
34,37,979102,574058,29913,583521,11743,210684,6889,1518368,0
34,37,73770,269272,6052,66882,710,73581,1190,372813,0
60,54,78582,86448,6058,103935,816,51440,603,382679,0
